,Date,Province,new_cases,active_cases,total_recovered,new_recovered,total_deaths,new_deaths,total_cases,Location,Location Level,City or Regency,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,Name_EN,id,total_cases_per_100k,total_deaths_per_100k,new_cases_per_mil,cases7,cases7_per_100k,deaths7,deaths7_per_100k,CFR,growth_rate_new_cases
0,2020-03-21,Aceh,0,0,0,0,0,0,0,Aceh,Province,,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5.0,289,,6497.0,57956,5247257,90.54,96.91052174,4.225614628,aceh,1,0.0,0.0,0.0,,,,,,
6460,2020-03-21,Kalimantan Utara,0,0,0,0,0,0,0,Kalimantan Utara,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.8910126210000002,kalimantan utara,0,0.0,0.0,0.0,,,,,,
4940,2020-03-21,Riau,0,1,0,0,0,0,1,Riau,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,riau,18,0.0,0.0,0.0,,,,,0.0,
11020,2020-03-21,Nusa Tenggara Barat,0,0,0,0,0,0,0,Nusa Tenggara Barat,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2.0,117,145.0,995.0,18572,5270247,283.77,117.5086257,-8.606998866,nusa tenggara barat,15,0.0,0.0,0.0,,,,,,
3040,2020-03-21,Jawa Tengah,2,11,0,0,3,0,14,Jawa Tengah,Province,,Indonesia,Asia,Jawa,UTC+07:00,,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,jawa tengah,30,0.0,0.0,5.499934110789353e-08,,,,,21.43,
5320,2020-03-21,Papua,0,0,0,0,0,0,0,Papua,Province,,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,papua,17,0.0,0.0,0.0,,,,,,
5321,2020-03-21,Papua,0,0,0,0,0,0,0,Papua,Province,,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,papua,17,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,,
380,2020-03-21,Jambi,0,0,0,0,0,0,0,Jambi,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,9,2.0,141,163.0,1399.0,50058,3493357,69.79,102.72364040000001,-1.69769766,jambi,28,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,,
1140,2020-03-21,Sulawesi Selatan,2,2,0,0,0,0,2,Sulawesi Selatan,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3.0,311,792.0,2255.0,46717,9426885,201.78,120.16205590000001,-3.731080714,sulawesi selatan,19,0.0,0.0,2.1215915968000033e-07,0.5714285714285714,0.0,0.0,0.0,0.0,inf
8360,2020-03-21,Lampung,0,1,0,0,0,0,1,Lampung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,13,2.0,228,205.0,2435.0,34624,9095591,262.7,105.02143659999999,-4.916792975,lampung,12,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,
8740,2020-03-21,Gorontalo,0,0,0,0,0,0,0,Gorontalo,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1.0,77,72.0,657.0,11257,1180651,104.88,122.3760581,0.687002604,gorontalo,26,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,,
9500,2020-03-21,Bangka-Belitung,0,0,0,0,0,0,0,Bangka-Belitung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,6,1.0,47,82.0,309.0,16424,1379767,84.01,106.5499324,-2.447444127,kepulauan bangka belitung,5,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,,-1.0
6840,2020-03-21,Jawa Barat,14,47,1,0,7,0,55,Jawa Barat,Province,,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,jawa barat,29,0.0,0.0,3.099997619644685e-07,2.2857142857142856,0.0,0.0,0.0,12.73,inf
1520,2020-03-21,Sumatera Utara,0,1,0,0,1,0,2,Sumatera Utara,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,25,8.0,450,693.0,5417.0,72981,14874889,203.82,99.05196442,2.191894453,sumatera utara,4,0.0,0.0,0.0,2.2857142857142856,0.0,0.0,0.0,50.0,
3420,2020-03-21,Sulawesi Utara,0,3,0,0,0,0,3,Sulawesi Utara,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4.0,171,332.0,1507.0,13892,2641884,190.17,124.5212396,1.259638212,sulawesi utara,22,0.0,0.0,0.0,2.2857142857142856,0.0,0.0,0.0,0.0,
3421,2020-03-21,Sulawesi Utara,0,1,0,0,0,0,1,Sulawesi Utara,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4.0,171,332.0,1507.0,13892,2641884,190.17,124.5212396,1.259638212,sulawesi utara,22,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0
10260,2020-03-21,Kalimantan Barat,0,2,0,0,0,0,2,Kalimantan Barat,Province,,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2.0,174,99.0,2031.0,147307,5422814,36.81,111.12117759999998,-0.08647457199999999,kalimantan barat,8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
6080,2020-03-21,Kalimantan Timur,0,9,0,0,0,0,9,Kalimantan Timur,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,kalimantan timur,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
11780,2020-03-21,Jakarta Raya,44,227,17,3,23,5,267,Jakarta Raya,Province,,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,dki jakarta,27,0.0,0.0,4.056740897341867e-06,8.285714285714286,0.0,0.7142857142857143,0.0,8.61,inf
11400,2020-03-21,Kalimantan Tengah,0,2,0,0,0,0,2,Kalimantan Tengah,Province,,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1.0,136,139.0,1432.0,153565,2570289,16.74,113.41765359999998,-1.602484653,kalimantan tengah,31,0.0,0.0,0.0,6.285714285714286,0.0,0.7142857142857143,0.0,0.0,-1.0
1900,2020-03-21,Bengkulu,0,0,0,0,0,0,0,Bengkulu,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,9,1.0,129,172.0,1341.0,19919,1999539,100.38,102.3384213,-3.533583627,bengkulu,20,0.0,0.0,0.0,6.285714285714286,0.0,0.7142857142857143,0.0,,
10640,2020-03-21,Nusa Tenggara Timur,0,0,0,0,0,0,0,Nusa Tenggara Timur,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1.0,309,327.0,3026.0,48718,5411321,111.07,121.592271,-8.682205,nusa tenggara timur,16,0.0,0.0,0.0,6.285714285714286,0.0,0.7142857142857143,0.0,,
12160,2020-03-21,Jawa Timur,11,25,0,0,1,0,26,Jawa Timur,Province,,Indonesia,Asia,Jawa,UTC+07:00,,29,9.0,666,777.0,7724.0,47803,40479023,846.78,112.73294140000002,-7.723345579,jawa timur,7,0.0,0.0,2.7174568911902837e-07,7.857142857142857,0.0,0.7142857142857143,0.0,3.85,inf
12540,2020-03-21,Kalimantan Selatan,0,0,0,0,0,0,0,Kalimantan Selatan,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.9935949789999996,kalimantan selatan,9,0.0,0.0,0.0,7.857142857142857,0.0,0.7142857142857143,0.0,,
9880,2020-03-21,Bali,0,2,0,0,1,0,3,Bali,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1.0,57,80.0,636.0,5780,4216171,729.43,115.1317136,-8.369471687999999,bali,24,0.0,0.0,0.0,7.857142857142857,0.0,0.7142857142857143,0.0,33.33,
7220,2020-03-21,Yogyakarta,1,4,1,1,0,0,5,Yogyakarta,Province,,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,daerah istimewa yogyakarta,3,0.0,0.0,2.754050864565418e-07,1.7142857142857142,0.0,0.0,0.0,0.0,-0.9772727272727273
9120,2020-03-21,Maluku,0,0,0,0,0,0,0,Maluku,Province,,Indonesia,Asia,Maluku,UTC+09:00,,9,2.0,118,35.0,1198.0,46914,1847097,39.37,129.57679199999998,-3.192572,maluku,13,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,,
4560,2020-03-21,Banten,4,40,1,0,2,1,43,Banten,Province,,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,banten,25,0.0,0.0,3.7305171410734225e-07,2.2857142857142856,0.0,0.14285714285714285,0.0,4.65,inf
2281,2020-03-21,Sumatera Barat,0,0,0,0,0,0,0,Sumatera Barat,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.46506240000001,-0.850253225,sumatera barat,2,0.0,0.0,0.0,2.2857142857142856,0.0,0.14285714285714285,0.0,,
4180,2020-03-21,Sulawesi Tengah,0,0,0,0,0,0,0,Sulawesi Tengah,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1.0,175,175.0,1842.0,61841,2955567,47.79,121.20109270000002,-1.00413668,sulawesi tengah,21,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,,-1.0
7600,2020-03-21,Sulawesi Barat,0,0,0,0,0,0,0,Sulawesi Barat,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73.0,575.0,16787,1559984,92.93,119.34501940000001,-2.461746053,sulawesi barat,32,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,,
7980,2020-03-21,Kepulauan Riau,0,4,0,0,0,0,4,Kepulauan Riau,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,5,2.0,75,142.0,275.0,8202,1929400,235.24,108.261746,3.916346,kepulauan riau,11,0.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,
760,2020-03-21,Maluku Utara,0,0,0,0,0,0,0,Maluku Utara,Province,,Indonesia,Asia,Maluku,UTC+09:00,,8,2.0,116,118.0,1063.0,31983,1307803,40.89,127.53910719999999,0.21203694899999997,maluku utara,14,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,,-1.0
2280,2020-03-21,Sumatera Barat,0,0,0,0,0,0,0,Sumatera Barat,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.46506240000001,-0.850253225,sumatera barat,2,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,,
1901,2020-03-22,Bengkulu,0,0,0,0,0,0,0,Bengkulu,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,9,1.0,129,172.0,1341.0,19919,1999539,100.38,102.3384213,-3.533583627,bengkulu,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0
10261,2020-03-22,Kalimantan Barat,0,2,0,0,0,0,2,Kalimantan Barat,Province,,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2.0,174,99.0,2031.0,147307,5422814,36.81,111.12117759999998,-0.08647457199999999,kalimantan barat,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2282,2020-03-22,Sumatera Barat,0,0,0,0,0,0,0,Sumatera Barat,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.46506240000001,-0.850253225,sumatera barat,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2283,2020-03-22,Sumatera Barat,0,0,0,0,0,0,0,Sumatera Barat,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.46506240000001,-0.850253225,sumatera barat,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12541,2020-03-22,Kalimantan Selatan,1,1,0,0,0,0,1,Kalimantan Selatan,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.9935949789999996,kalimantan selatan,9,0.0,0.0,2.4856769082355197e-07,0.14285714285714285,0.0,0.0,0.0,0.0,inf
1521,2020-03-22,Sumatera Utara,0,1,0,0,1,0,2,Sumatera Utara,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,25,8.0,450,693.0,5417.0,72981,14874889,203.82,99.05196442,2.191894453,sumatera utara,4,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,50.0,
8741,2020-03-22,Gorontalo,0,0,0,0,0,0,0,Gorontalo,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1.0,77,72.0,657.0,11257,1180651,104.88,122.3760581,0.687002604,gorontalo,26,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,,
5323,2020-03-22,Papua,2,2,0,0,0,0,2,Papua,Province,,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,papua,17,0.0,0.0,4.6079254474526004e-07,0.42857142857142855,0.0,0.0,0.0,0.0,inf
10641,2020-03-22,Nusa Tenggara Timur,0,0,0,0,0,0,0,Nusa Tenggara Timur,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1.0,309,327.0,3026.0,48718,5411321,111.07,121.592271,-8.682205,nusa tenggara timur,16,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,,
5322,2020-03-22,Papua,0,0,0,0,0,0,0,Papua,Province,,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,papua,17,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,,
4181,2020-03-22,Sulawesi Tengah,0,0,0,0,0,0,0,Sulawesi Tengah,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1.0,175,175.0,1842.0,61841,2955567,47.79,121.20109270000002,-1.00413668,sulawesi tengah,21,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,,
4941,2020-03-22,Riau,0,1,0,0,0,0,1,Riau,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,riau,18,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,-1.0
4561,2020-03-22,Banten,0,43,1,0,3,1,47,Banten,Province,,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,banten,25,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,6.38,
9121,2020-03-22,Maluku,1,1,0,0,0,0,1,Maluku,Province,,Indonesia,Asia,Maluku,UTC+09:00,,9,2.0,118,35.0,1198.0,46914,1847097,39.37,129.57679199999998,-3.192572,maluku,13,0.0,0.0,5.413900840074994e-07,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,inf
9501,2020-03-22,Bangka-Belitung,0,0,0,0,0,0,0,Bangka-Belitung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,6,1.0,47,82.0,309.0,16424,1379767,84.01,106.5499324,-2.447444127,kepulauan bangka belitung,5,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,,-1.0
6081,2020-03-22,Kalimantan Timur,0,9,0,0,0,0,9,Kalimantan Timur,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,kalimantan timur,10,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,
6461,2020-03-22,Kalimantan Utara,0,0,0,0,0,0,0,Kalimantan Utara,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.8910126210000002,kalimantan utara,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,,
11401,2020-03-22,Kalimantan Tengah,0,2,0,0,0,0,2,Kalimantan Tengah,Province,,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1.0,136,139.0,1432.0,153565,2570289,16.74,113.41765359999998,-1.602484653,kalimantan tengah,31,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,
761,2020-03-22,Maluku Utara,0,0,0,0,0,0,0,Maluku Utara,Province,,Indonesia,Asia,Maluku,UTC+09:00,,8,2.0,116,118.0,1063.0,31983,1307803,40.89,127.53910719999999,0.21203694899999997,maluku utara,14,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,,
381,2020-03-22,Jambi,0,0,0,0,0,0,0,Jambi,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,9,2.0,141,163.0,1399.0,50058,3493357,69.79,102.72364040000001,-1.69769766,jambi,28,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,,
1141,2020-03-22,Sulawesi Selatan,0,2,0,0,0,0,2,Sulawesi Selatan,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3.0,311,792.0,2255.0,46717,9426885,201.78,120.16205590000001,-3.731080714,sulawesi selatan,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
9881,2020-03-22,Bali,0,1,0,0,2,1,3,Bali,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1.0,57,80.0,636.0,5780,4216171,729.43,115.1317136,-8.369471687999999,bali,24,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,66.67,
12161,2020-03-22,Jawa Timur,15,40,0,0,1,0,41,Jawa Timur,Province,,Indonesia,Asia,Jawa,UTC+07:00,,29,9.0,666,777.0,7724.0,47803,40479023,846.78,112.73294140000002,-7.723345579,jawa timur,7,0.0,0.0,3.7056230334412963e-07,2.142857142857143,0.0,0.14285714285714285,0.0,2.44,inf
8361,2020-03-22,Lampung,0,1,0,0,0,0,1,Lampung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,13,2.0,228,205.0,2435.0,34624,9095591,262.7,105.02143659999999,-4.916792975,lampung,12,0.0,0.0,0.0,2.142857142857143,0.0,0.14285714285714285,0.0,0.0,
3041,2020-03-22,Jawa Tengah,1,12,0,0,3,0,15,Jawa Tengah,Province,,Indonesia,Asia,Jawa,UTC+07:00,,29,6.0,576,753.0,7809.0,32801,36364072,1108.64,110.2011149,-7.259097177,jawa tengah,30,0.0,0.0,2.7499670553946765e-08,2.2857142857142856,0.0,0.14285714285714285,0.0,20.0,inf
7601,2020-03-22,Sulawesi Barat,0,0,0,0,0,0,0,Sulawesi Barat,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73.0,575.0,16787,1559984,92.93,119.34501940000001,-2.461746053,sulawesi barat,32,0.0,0.0,0.0,2.2857142857142856,0.0,0.14285714285714285,0.0,,
7981,2020-03-22,Kepulauan Riau,0,4,0,0,0,0,4,Kepulauan Riau,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,5,2.0,75,142.0,275.0,8202,1929400,235.24,108.261746,3.916346,kepulauan riau,11,0.0,0.0,0.0,2.2857142857142856,0.0,0.14285714285714285,0.0,0.0,
6841,2020-03-22,Jawa Barat,4,45,5,4,9,2,59,Jawa Barat,Province,,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,jawa barat,29,0.0,0.0,8.857136056127671e-08,2.857142857142857,0.0,0.42857142857142855,0.0,15.25,inf
7221,2020-03-22,Yogyakarta,0,4,1,0,0,0,5,Yogyakarta,Province,,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,daerah istimewa yogyakarta,3,0.0,0.0,0.0,2.857142857142857,0.0,0.2857142857142857,0.0,0.0,
1,2020-03-22,Aceh,0,0,0,0,0,0,0,Aceh,Province,,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5.0,289,,6497.0,57956,5247257,90.54,96.91052174,4.225614628,aceh,1,0.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,,-1.0
3422,2020-03-22,Sulawesi Utara,0,3,0,0,0,0,3,Sulawesi Utara,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4.0,171,332.0,1507.0,13892,2641884,190.17,124.5212396,1.259638212,sulawesi utara,22,0.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,
3423,2020-03-22,Sulawesi Utara,0,1,0,0,0,0,1,Sulawesi Utara,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4.0,171,332.0,1507.0,13892,2641884,190.17,124.5212396,1.259638212,sulawesi utara,22,0.0,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,-1.0
11781,2020-03-22,Jakarta Raya,40,256,22,5,29,6,307,Jakarta Raya,Province,,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,dki jakarta,27,0.0,0.0,3.687946270310788e-06,6.285714285714286,0.0,1.1428571428571428,0.0,9.45,inf
11021,2020-03-22,Nusa Tenggara Barat,0,0,0,0,0,0,0,Nusa Tenggara Barat,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2.0,117,145.0,995.0,18572,5270247,283.77,117.5086257,-8.606998866,nusa tenggara barat,15,0.0,0.0,0.0,6.285714285714286,0.0,1.1428571428571428,0.0,,
4182,2020-03-23,Sulawesi Tengah,0,0,0,0,0,0,0,Sulawesi Tengah,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1.0,175,175.0,1842.0,61841,2955567,47.79,121.20109270000002,-1.00413668,sulawesi tengah,21,0.0,0.0,0.0,5.714285714285714,0.0,0.8571428571428571,0.0,,-1.0
7222,2020-03-23,Yogyakarta,0,4,1,0,0,0,5,Yogyakarta,Province,,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,daerah istimewa yogyakarta,3,0.0,0.0,0.0,5.714285714285714,0.0,0.8571428571428571,0.0,0.0,
10642,2020-03-23,Nusa Tenggara Timur,0,0,0,0,0,0,0,Nusa Tenggara Timur,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1.0,309,327.0,3026.0,48718,5411321,111.07,121.592271,-8.682205,nusa tenggara timur,16,0.0,0.0,0.0,5.714285714285714,0.0,0.8571428571428571,0.0,,
12162,2020-03-23,Jawa Timur,0,40,0,0,1,0,41,Jawa Timur,Province,,Indonesia,Asia,Jawa,UTC+07:00,,29,9.0,666,777.0,7724.0,47803,40479023,846.78,112.73294140000002,-7.723345579,jawa timur,7,0.0,0.0,0.0,5.714285714285714,0.0,0.8571428571428571,0.0,2.44,
12542,2020-03-23,Kalimantan Selatan,0,1,0,0,0,0,1,Kalimantan Selatan,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2.0,153,144.0,1864.0,38744,4023049,103.84,115.4385783,-2.9935949789999996,kalimantan selatan,9,0.0,0.0,0.0,5.714285714285714,0.0,0.8571428571428571,0.0,0.0,
7602,2020-03-23,Sulawesi Barat,0,0,0,0,0,0,0,Sulawesi Barat,Province,,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73.0,575.0,16787,1559984,92.93,119.34501940000001,-2.461746053,sulawesi barat,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0
7982,2020-03-23,Kepulauan Riau,1,5,0,0,0,0,5,Kepulauan Riau,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,5,2.0,75,142.0,275.0,8202,1929400,235.24,108.261746,3.916346,kepulauan riau,11,0.0,0.0,5.18295843267337e-07,0.14285714285714285,0.0,0.0,0.0,0.0,inf
762,2020-03-23,Maluku Utara,1,1,0,0,0,0,1,Maluku Utara,Province,,Indonesia,Asia,Maluku,UTC+09:00,,8,2.0,116,118.0,1063.0,31983,1307803,40.89,127.53910719999999,0.21203694899999997,maluku utara,14,0.0,0.0,7.646411577278841e-07,0.2857142857142857,0.0,0.0,0.0,0.0,inf
4562,2020-03-23,Banten,9,52,1,0,3,0,56,Banten,Province,,Indonesia,Asia,Jawa,UTC+07:00,,4,4.0,155,313.0,1238.0,9663,10722374,1109.64,106.10900430000001,-6.4567363879999995,banten,25,0.0,0.0,8.393663567415202e-07,1.5714285714285714,0.0,0.0,0.0,5.36,inf
2284,2020-03-23,Sumatera Barat,0,0,0,0,0,0,0,Sumatera Barat,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.46506240000001,-0.850253225,sumatera barat,2,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,,
9882,2020-03-23,Bali,3,4,0,0,2,0,6,Bali,Province,,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1.0,57,80.0,636.0,5780,4216171,729.43,115.1317136,-8.369471687999999,bali,24,0.0,0.0,7.115460924141834e-07,2.0,0.0,0.0,0.0,33.33,inf
10262,2020-03-23,Kalimantan Barat,0,2,0,0,0,0,2,Kalimantan Barat,Province,,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2.0,174,99.0,2031.0,147307,5422814,36.81,111.12117759999998,-0.08647457199999999,kalimantan barat,8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
6462,2020-03-23,Kalimantan Utara,0,0,0,0,0,0,0,Kalimantan Utara,Province,,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.8910126210000002,kalimantan utara,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,
1522,2020-03-23,Sumatera Utara,0,1,0,0,1,0,2,Sumatera Utara,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,25,8.0,450,693.0,5417.0,72981,14874889,203.82,99.05196442,2.191894453,sumatera utara,4,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,50.0,-1.0
9502,2020-03-23,Bangka-Belitung,0,0,0,0,0,0,0,Bangka-Belitung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,6,1.0,47,82.0,309.0,16424,1379767,84.01,106.5499324,-2.447444127,kepulauan bangka belitung,5,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,,-1.0
6842,2020-03-23,Jawa Barat,0,45,5,0,9,0,59,Jawa Barat,Province,,Indonesia,Asia,Jawa,UTC+07:00,,18,9.0,627,645.0,5312.0,35378,45161325,1276.55,107.6037083,-6.920432083,jawa barat,29,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,15.25,-1.0
8362,2020-03-23,Lampung,0,1,0,0,0,0,1,Lampung,Province,,Indonesia,Asia,Sumatera,UTC+07:00,,13,2.0,228,205.0,2435.0,34624,9095591,262.7,105.02143659999999,-4.916792975,lampung,12,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,
